100,358,0.18755,332,0.18185,341,0.1817,
200,844,0.47155,738,0.446,756,0.40135,
300,1631,0.62815,1371,0.6184,1366,0.61115,
400,1924,0.85545,1610,0.8402,1660,0.8195,
500,3446,1.17805,2810,1.15865,2807,1.14965,
600,3730,1.38375,3007,1.3474,3025,1.3455,
700,3831,1.55735,3115,1.5402,3103,1.52925,
800,4388,1.86045,3529,1.8032,3601,1.8361,
900,6033,2.23185,4773,2.20305,4898,2.15255,
1000,7811,2.5685,6112,2.49535,6167,2.49635,
1100,8309,2.78615,6460,2.68045,6543,2.67065,
1200,8380,2.97125,6582,2.8955,6608,2.85065,
1300,8472,3.09495,6660,3.074,6716,3.0548,
1400,8590,3.31945,6713,3.21695,6758,3.2786,
1500,8655,3.4883,6813,3.4364,6830,3.42805,
1600,9853,3.9375,7653,3.8141,7870,3.84615,
1700,11769,4.37455,8984,4.2645,9267,4.22055,
1800,13574,4.714,10372,4.8335,10692,4.61675,
1900,15516,5.1344,11734,5.371,12076,4.99155,
2000,17493,5.54435,13234,5.4125,13510,6.20875,
2100,18317,5.9238,13863,5.7457,14081,6.61915,
2200,18492,6.6112,14000,6.37405,14234,6.41275,
2300,18630,6.1143,14074,5.89555,14420,5.93115,
2400,18696,6.3457,14175,6.13245,14380,6.10255,
2500,18797,6.45865,14220,6.27915,14449,6.6643,
2600,18943,6.6548,14339,6.4666,14598,6.5861,
2700,18970,6.98895,14308,7.05725,14826,6.84475,
2800,19041,7.1483,14474,6.822,14721,6.83045,
2900,19261,7.2071,14547,7.0042,14843,7.3267,
3000,19291,7.63805,14673,7.9033,14835,7.5965,
